Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
1970,01,14,23:49:05,-16.69,-72,96,3.8,"NEAR COAST OF PERU",1208945
1970,01,14,20:28:02,59.61,-153.68,105,3.6,"SOUTHERN ALASKA",1196882
1970,01,14,18:44:20,37.49,-118.29,3,3.3,"CALIFORNIA-NEVADA BORDER REGION",1190660
1970,01,14,17:39:26,-18.7,34.6,0,2.3,"MOZAMBIQUE",1186766
1970,01,14,15:42:20,38.69,-122.25,8,3.1,"NORTHERN CALIFORNIA",1179740
1970,01,14,12:44:43,-15.7,29.5,0,2.5,"ZAMBIA",1169083
1970,01,14,10:14:17,24.25,102.46,10,5,"YUNNAN, CHINA",1160057
1970,01,14,08:25:15,-17.72,168.86,244,4.5,"VANUATU ISLANDS",1153515
1970,01,14,07:03:24,16.6,-100.17,33,3.4,"NEAR COAST OF GUERRERO, MEXICO",1148604
1970,01,14,05:06:18,51.7,175.7,33,4,"RAT ISLANDS, ALEUTIAN ISLANDS",1141578
1970,01,14,04:16:20,15.95,-60.5,93,5.1,"LEEWARD ISLANDS",1138580
1970,01,14,02:29:41,-10,123.5,70,4.8,"TIMOR REGION",1132181
1970,01,14,02:23:14,23.97,122.4,26,5,"TAIWAN REGION",1131794
1970,01,14,02:22:34,-10.34,123.15,26,5.1,"TIMOR REGION",1131754
1970,01,13,23:01:06,-26.06,27.54,0,3.9,"SOUTH AFRICA",1119666
1970,01,13,22:34:52,37.9,20.8,0,3.7,"IONIAN SEA",1118092
1970,01,13,22:32:56,-23.42,-179.73,540,4.7,"SOUTH OF FIJI ISLANDS",1117976
1970,01,13,20:49:10,-15,166.6,0,4.5,"VANUATU ISLANDS",1111750
1970,01,13,20:48:27,7.09,126.79,74,5.2,"MINDANAO, PHILIPPINES",1111707
1970,01,13,20:25:44,15.96,-59.7,28,4.4,"LEEWARD ISLANDS",1110344
1970,01,13,17:40:18,-19.75,167.75,0,3.5,"VANUATU ISLANDS REGION",1100418
1970,01,13,17:31:12,-17.45,168.04,10,4.4,"VANUATU ISLANDS",1099872
1970,01,13,16:55:17,8.68,127.29,54,5.3,"PHILIPPINE ISLANDS REGION",1097717
1970,01,13,15:27:35,-17.49,167.3,0,4.2,"VANUATU ISLANDS",1092455
1970,01,13,14:38:50,-19,169,0,3.5,"VANUATU ISLANDS",1089530
1970,01,13,14:33:01,4.72,127.74,126,4.5,"TALAUD ISLANDS, INDONESIA",1089181
1970,01,13,13:59:36,-17.49,167.84,0,3.7,"VANUATU ISLANDS",1087176
1970,01,13,12:30:13,16.1,-97.2,33,3.6,"OAXACA, MEXICO",1081813
1970,01,13,11:44:57,38.1,22.4,3,3,"GREECE",1079097
1970,01,13,10:48:56,-19.6,169.5,34,4.3,"VANUATU ISLANDS",1075736
1970,01,13,05:58:07,16.1,-97.2,33,3.4,"OAXACA, MEXICO",1058287
1970,01,13,05:02:04,-23.18,-176.15,33,4.6,"SOUTH OF FIJI ISLANDS",1054924
1970,01,13,04:22:08,51.8,-175.7,41,4.2,"ANDREANOF ISLANDS, ALEUTIAN IS.",1052528
1970,01,13,04:12:47,-14.63,166.34,25,4.9,"VANUATU ISLANDS",1051967
1970,01,13,03:12:14,48.4,139.1,33,3.4,"PRIMOR'YE, RUSSIA",1048334
1970,01,13,01:31:56,-19.4,170.1,0,4,"VANUATU ISLANDS",1042316
1970,01,13,01:13:01,-6.63,146.84,108,4.8,"EASTERN NEW GUINEA REG., P.N.G.",1041181
1970,01,13,00:14:27,-3.26,118.98,60,5.1,"SULAWESI, INDONESIA",1037667
1970,01,12,14:51:41,7.46,126.81,65,4.4,"MINDANAO, PHILIPPINES",1003901
1970,01,12,14:42:27,-17.26,167,0,4,"VANUATU ISLANDS",1003347
1970,01,12,11:21:20,36,-103.1,33,3.5,"NEW MEXICO",991280
1970,01,12,10:34:37,-12.71,169.24,659,4.2,"SANTA CRUZ ISLANDS REGION",988477
1970,01,12,09:33:04,24,102.9,33,4.7,"YUNNAN, CHINA",984784
1970,01,12,06:24:38,6.72,126.8,82,4.7,"MINDANAO, PHILIPPINES",973478
1970,01,12,05:59:59,7.04,126.86,68,4.3,"MINDANAO, PHILIPPINES",971999
1970,01,12,05:00:34,15.75,-94.8,33,3.9,"NEAR COAST OF OAXACA, MEXICO",968434
1970,01,12,04:43:08,-1.34,-48.4,33,4.5,"BRAZIL",967388
1970,01,12,04:25:01,6.81,126.97,70,5.1,"MINDANAO, PHILIPPINES",966301
1970,01,12,04:11:26,6.76,126.8,89,4.3,"MINDANAO, PHILIPPINES",965486
1970,01,12,03:37:30,41.52,141.98,71,4.4,"HOKKAIDO, JAPAN REGION",963450
1970,01,12,03:11:07,-19.9,169.5,0,3.5,"VANUATU ISLANDS",961867
1970,01,12,02:21:20,7.31,126.89,72,4.8,"MINDANAO, PHILIPPINES",958880
1970,01,12,01:55:48,-21.6,-67.7,133,3.8,"CHILE-BOLIVIA BORDER REGION",957348
1970,01,12,01:12:05,-30.08,-68.3,135,4.2,"SAN JUAN PROVINCE, ARGENTINA",954725
1970,01,11,23:44:48,35.6,27.4,0,3.8,"DODECANESE ISLANDS, GREECE",949488
1970,01,11,23:40:52,-20,-173.3,33,4.3,"TONGA ISLANDS",949252
1970,01,11,22:49:59,-2.47,-77.18,156,4.7,"PERU-ECUADOR BORDER REGION",946199
1970,01,11,22:46:41,8.8,-72.1,206,4.4,"VENEZUELA",946001
1970,01,11,22:16:39,38,20.3,0,3.7,"GREECE",944199
1970,01,11,21:02:22,6.52,126.99,84,5,"MINDANAO, PHILIPPINES",939742
1970,01,11,20:16:07,16.09,-59.76,40,4.9,"LEEWARD ISLANDS",936967
1970,01,11,20:12:38,52.72,-169.82,33,4.3,"FOX ISLANDS, ALEUTIAN ISLANDS",936758
1970,01,11,20:03:21,55.18,-159.8,30,3.9,"ALASKA PENINSULA",936201
1970,01,11,19:45:07,6.66,126.84,95,4.7,"MINDANAO, PHILIPPINES",935107
1970,01,11,19:18:09,-15.5,167.6,80,4.2,"VANUATU ISLANDS",933489
1970,01,11,19:08:21,-31.7,-79.3,33,3.8,"JUAN FERNANDEZ ISLANDS REGION",932901
1970,01,11,18:24:16,6.2,126.8,91,4.6,"MINDANAO, PHILIPPINES",930256
1970,01,11,13:19:57,-17.03,167.51,0,4.2,"VANUATU ISLANDS",911997
1970,01,11,12:32:19,-22.11,-67.34,186,4.1,"CHILE-BOLIVIA BORDER REGION",909139
1970,01,11,12:19:35,9.02,125.6,61,5.1,"MINDANAO, PHILIPPINES",908375
1970,01,11,11:31:11,-8.32,159.1,78,4.5,"SOLOMON ISLANDS",905471
1970,01,11,10:54:39,6.4,126.6,102,4.5,"MINDANAO, PHILIPPINES",903279
1970,01,11,10:36:15,-20.3,170.3,0,3.5,"VANUATU ISLANDS",902175
1970,01,11,05:19:38,-22.61,171.43,50,5.3,"SOUTHEAST OF LOYALTY ISLANDS",883178
1970,01,11,05:02:05,7.43,126.87,60,5.4,"MINDANAO, PHILIPPINES",882125
1970,01,11,04:35:47,58.3,162.7,33,4.5,"KAMCHATKA PENINSULA, RUSSIA",880547
1970,01,11,03:17:50,7.11,126.7,67,4.8,"MINDANAO, PHILIPPINES",875870
1970,01,11,03:14:24,-6.2,71.33,33,4.9,"CHAGOS ARCHIPELAGO REGION",875664
1970,01,11,03:03:41,7.3,126.7,80,4.2,"MINDANAO, PHILIPPINES",875021
1970,01,11,02:30:52,-10.3,38.5,0,4.2,"TANZANIA",873052
1970,01,11,02:01:12,-55.97,-27.6,33,4.9,"SOUTH SANDWICH ISLANDS REGION",871272
1970,01,11,01:30:18,6.74,127.01,90,4.5,"PHILIPPINE ISLANDS REGION",869418
1970,01,11,01:16:14,-20.34,-174.66,41,4.7,"TONGA ISLANDS",868574
1970,01,11,00:36:11,-27.75,-71.5,34,3.9,"NEAR COAST OF NORTHERN CHILE",866171
1970,01,10,22:17:58,-19.7,169.2,0,3.5,"VANUATU ISLANDS",857878
1970,01,10,21:32:39,6.91,127.1,76,4.9,"PHILIPPINE ISLANDS REGION",855159
1970,01,10,20:38:13,34.9,24.2,67,4.7,"CRETE, GREECE",851893
1970,01,10,19:28:20,-19.5,168.9,0,3,"VANUATU ISLANDS",847700
1970,01,10,18:28:57,16.9,-99.8,33,3.8,"NEAR COAST OF GUERRERO, MEXICO",844137
1970,01,10,17:40:24,7.06,126.9,69,4.9,"MINDANAO, PHILIPPINES",841224
1970,01,10,17:12:38,7.1,127,96,5,"PHILIPPINE ISLANDS REGION",839558
1970,01,10,16:30:49,7.04,126.77,36,5.1,"MINDANAO, PHILIPPINES",837049
1970,01,10,16:28:53,7.3,126.9,63,4.6,"MINDANAO, PHILIPPINES",836933
1970,01,10,16:00:25,6.84,126.99,70,4.8,"MINDANAO, PHILIPPINES",835225
1970,01,10,15:43:00,28.79,128.95,87,4.7,"RYUKYU ISLANDS, JAPAN",834180
1970,01,10,15:26:49,6.79,126.89,88,4.8,"MINDANAO, PHILIPPINES",833209
1970,01,10,15:18:50,8.3,126.5,0,5.2,"MINDANAO, PHILIPPINES",832730
1970,01,10,15:12:19,6.8,126.7,47,5.1,"MINDANAO, PHILIPPINES",832339
1970,01,10,14:54:09,7.17,126.91,84,4.9,"MINDANAO, PHILIPPINES",831249
1970,01,10,14:49:16,-17.8,169.5,0,4.2,"VANUATU ISLANDS",830956
1970,01,10,14:16:31,6.71,126.84,81,5.5,"MINDANAO, PHILIPPINES",828991
1970,01,10,13:59:40,6.74,126.86,88,5.4,"MINDANAO, PHILIPPINES",827980
1970,01,10,13:29:23,6.39,126.94,92,4.9,"MINDANAO, PHILIPPINES",826163
1970,01,10,13:13:01,6.69,126.79,76,5.1,"MINDANAO, PHILIPPINES",825181
1970,01,10,13:09:27,7.11,126.88,83,5,"MINDANAO, PHILIPPINES",824967
1970,01,10,13:01:59,7.1,126.7,85,4.5,"MINDANAO, PHILIPPINES",824519
1970,01,10,12:50:26,-2.1,120,33,5.4,"SULAWESI, INDONESIA",823826
1970,01,10,12:43:34,62.4,88.5,0,4.3,"NORTHCENTRAL SIBERIA, RUSSIA",823414
1970,01,10,12:09:39,50.9,4.9,0,4.8,"BELGIUM",821379
1970,01,10,12:07:08,6.8,126.75,68,5.9,"MINDANAO, PHILIPPINES",821228
1970,01,10,11:56:38,6.76,-73.09,163,4.5,"NORTHERN COLOMBIA",820598
1970,01,10,11:26:24,-33.63,-179.2,31,5,"SOUTH OF KERMADEC ISLANDS",818784
1970,01,10,07:14:58,53.6,160.1,33,3.8,"NEAR EAST COAST OF KAMCHATKA",803698
1970,01,10,06:11:16,-19.62,-175.93,166,4.3,"TONGA ISLANDS",799876
1970,01,10,05:37:56,13.3,-92.41,53,4.2,"OFF COAST OF CHIAPAS, MEXICO",797876
1970,01,10,04:50:29,38.17,73.6,155,5,"TAJIKISTAN-XINJIANG BORDER REG.",795029
1970,01,10,04:43:49,-21.15,-68.3,130,3.7,"CHILE-BOLIVIA BORDER REGION",794629
1970,01,10,04:21:43,59.5,-144.78,33,4.8,"GULF OF ALASKA",793303
1970,01,10,03:18:00,24.09,122.5,42,4.7,"TAIWAN REGION",789480
1970,01,10,00:36:04,43.5,147.61,42,4.8,"KURIL ISLANDS",779764
1970,01,10,00:33:29,9.47,-78.34,69,4.7,"PANAMA",779609
1970,01,09,23:53:12,16,-97.8,20,3.5,"OAXACA, MEXICO",777192
1970,01,09,23:16:20,-9.27,117.25,58,5.7,"SUMBAWA REGION, INDONESIA",774980
1970,01,09,21:00:11,42.89,80.5,34,4.7,"KYRGYZSTAN-XINJIANG BORDER REG.",766811
1970,01,09,20:09:06,15.78,-59.55,31,4.2,"LEEWARD ISLANDS",763746
1970,01,09,19:58:41,-15.28,-178.65,427,5.1,"FIJI ISLANDS REGION",763121
1970,01,09,19:44:26,35.84,70.87,148,4.3,"HINDU KUSH REGION, AFGHANISTAN",762266
1970,01,09,19:33:06,-20.6,32.9,0,2.3,"ZIMBABWE",761586
1970,01,09,19:29:12,-17.79,167.43,0,3.7,"VANUATU ISLANDS",761352
1970,01,09,19:26:19,9.21,58.26,96,4.9,"CARLSBERG RIDGE",761179
1970,01,09,16:39:25,-19.8,169.09,0,3.5,"VANUATU ISLANDS",751165
1970,01,09,14:43:08,-2.5,20.5,0,3.8,"DEMOCRATIC REPUBLIC OF CONGO",744188
1970,01,09,14:23:21,52,-172.3,0,5.1,"ANDREANOF ISLANDS, ALEUTIAN IS.",743001
1970,01,09,13:01:46,-10.94,40.94,33,4.5,"TANZANIA",738106
1970,01,09,12:05:23,11.6,-93.3,33,4.3,"OFF COAST OF MEXICO",734723
1970,01,09,10:31:44,23.96,102.76,28,4.7,"YUNNAN, CHINA",729104
1970,01,09,09:23:04,38.48,55.52,23,4.9,"TURKMENISTAN-IRAN BORDER REGION",724984
1970,01,09,07:43:50,-17.02,167.93,0,4,"VANUATU ISLANDS",719030
1970,01,09,07:41:14,52.78,-168.71,26,4.4,"FOX ISLANDS, ALEUTIAN ISLANDS",718874
1970,01,09,06:59:53,36.55,138.11,0,3.6,"EASTERN HONSHU, JAPAN",716393
1970,01,09,06:26:55,16.17,-59.6,35,5.3,"LEEWARD ISLANDS",714415
1970,01,09,06:16:14,30.2,34,33,4.7,"DEAD SEA REGION",713774
1970,01,09,05:50:19,9.1,58.24,64,4.8,"CARLSBERG RIDGE",712219
1970,01,09,04:42:58,-33.62,-179.2,31,5.1,"SOUTH OF KERMADEC ISLANDS",708178
1970,01,09,03:51:20,36.6,28,0,3.7,"DODECANESE ISLANDS, GREECE",705080
1970,01,09,03:26:09,15.92,-60.03,73,4.4,"LEEWARD ISLANDS",703569
1970,01,09,03:23:43,14.8,-61,33,3.4,"WINDWARD ISLANDS",703423
1970,01,09,02:23:01,-34.6,-91.9,25,4.6,"SOUTHEAST CENTRAL PACIFIC OCEAN",699781
1970,01,09,02:03:35,42.52,143.7,33,4.4,"HOKKAIDO, JAPAN REGION",698615
1970,01,09,01:58:27,-33.6,-89.6,0,4.4,"SOUTHEAST CENTRAL PACIFIC OCEAN",698307
1970,01,08,23:53:24,41.51,142.08,76,4.5,"HOKKAIDO, JAPAN REGION",690804
1970,01,08,23:33:46,16,-60.7,119,4.1,"LEEWARD ISLANDS",689626
1970,01,08,23:21:01,-19.21,168.99,0,3.4,"VANUATU ISLANDS",688861
1970,01,08,23:06:35,40.84,140.41,40,4.9,"EASTERN HONSHU, JAPAN",687995
1970,01,08,21:47:50,41.39,142.74,56,4.7,"HOKKAIDO, JAPAN REGION",683270
1970,01,08,21:45:19,16.9,-100.8,33,3.5,"NEAR COAST OF GUERRERO, MEXICO",683119
1970,01,08,21:19:11,36.35,70.97,139,4.9,"HINDU KUSH REGION, AFGHANISTAN",681551
1970,01,08,21:05:18,-14.92,167.73,175,4.2,"VANUATU ISLANDS",680718
1970,01,08,20:35:35,-25.73,-70.3,73,4.1,"NEAR COAST OF NORTHERN CHILE",678935
1970,01,08,19:35:06,-19.75,167.75,0,3.5,"VANUATU ISLANDS REGION",675306
1970,01,08,19:14:03,43.65,146.5,33,4.3,"KURIL ISLANDS",674043
1970,01,08,18:59:31,50.27,18.78,0,2.5,"POLAND",673171
1970,01,08,18:37:33,37.08,141.15,67,4,"NEAR EAST COAST OF HONSHU, JAPAN",671853
1970,01,08,17:51:22,17.47,-99.3,33,3.9,"GUERRERO, MEXICO",669082
1970,01,08,17:12:40,-34.85,178.79,189,6.1,"SOUTH OF KERMADEC ISLANDS",666760
1970,01,08,17:00:37,34.58,-121.37,33,4.2,"OFF COAST OF CALIFORNIA",666037
1970,01,08,16:18:55,15.3,-90.53,22,4.4,"GUATEMALA",663535
1970,01,08,11:43:54,15.88,-59.47,5,4.9,"LEEWARD ISLANDS",647034
1970,01,08,11:07:18,24,102.91,33,4.7,"YUNNAN, CHINA",644838
1970,01,08,10:24:08,35.8,71.12,135,4.6,"PAKISTAN",642248
1970,01,08,10:22:01,15.86,-59.6,35,3.6,"LEEWARD ISLANDS",642121
1970,01,08,09:57:50,-19,167.9,0,3.7,"VANUATU ISLANDS REGION",640670
1970,01,08,09:28:48,-18.9,166.6,0,3.7,"VANUATU ISLANDS REGION",638928
1970,01,08,08:55:12,16.03,-59.48,40,5,"LEEWARD ISLANDS",636912
1970,01,08,08:43:20,16.88,-61.14,53,5,"LEEWARD ISLANDS",636200
1970,01,08,08:32:41,-15.21,-174.8,2,5,"TONGA ISLANDS",635561
1970,01,08,07:31:32,37.85,72.38,115,5.2,"TAJIKISTAN",631892
1970,01,08,07:15:52,15.87,-59.77,35,5,"LEEWARD ISLANDS",630952
1970,01,08,06:39:48,-3.6,149.84,27,4.4,"BISMARCK SEA",628788
1970,01,08,06:13:21,-24.07,-66.91,200,4.8,"SALTA PROVINCE, ARGENTINA",627201
1970,01,08,04:38:38,72.8,7.3,33,3.8,"NORWEGIAN SEA",621518
1970,01,08,02:35:17,15.74,-59.4,29,4.3,"LEEWARD ISLANDS",614117
1970,01,07,23:58:05,35.77,137.06,10,4.4,"EASTERN HONSHU, JAPAN",604685
1970,01,07,20:53:36,16.14,-59.57,25,4.1,"LEEWARD ISLANDS",593616
1970,01,07,18:23:37,40.21,50.13,52,4.7,"CASPIAN SEA",584617
1970,01,07,17:00:43,-26.12,27.57,33,4.9,"SOUTH AFRICA",579643
1970,01,07,16:04:51,16.03,-59.85,32,3.7,"LEEWARD ISLANDS",576291
1970,01,07,15:34:57,24.94,122.53,118,4.6,"TAIWAN REGION",574497
1970,01,07,14:47:04,35.85,70.77,140,4.7,"HINDU KUSH REGION, AFGHANISTAN",571624
1970,01,07,13:53:54,-1.73,99.9,79,4.7,"SOUTHERN SUMATRA, INDONESIA",568434
1970,01,07,13:52:38,-11.1,34.4,0,3.4,"MALAWI",568358
1970,01,07,12:27:53,45.01,-111.62,33,4.9,"MONTANA",563273
1970,01,07,12:25:44,-4.81,153.6,89,4.6,"NEW IRELAND REGION, P.N.G.",563144
1970,01,07,09:32:33,-53.01,22.4,25,4.8,"SOUTH OF AFRICA",552753
1970,01,07,08:55:05,-5.44,147.1,203,4.9,"EASTERN NEW GUINEA REG., P.N.G.",550505
1970,01,07,08:45:00,15.99,-59.56,20,4.4,"LEEWARD ISLANDS",549900
1970,01,07,08:29:39,-23.1,-42.3,33,4.3,"BRAZIL",548979
1970,01,07,08:12:26,15.4,-61.7,99,3.9,"LEEWARD ISLANDS",547946
1970,01,07,08:05:05,15.94,-59.7,27,4.6,"LEEWARD ISLANDS",547505
1970,01,07,07:56:12,15.86,-59.78,37,5.5,"LEEWARD ISLANDS",546972
1970,01,07,07:35:53,-21.33,-68.9,132,4.1,"CHILE-BOLIVIA BORDER REGION",545753
1970,01,07,07:01:27,-22.1,38.5,0,3.7,"MOZAMBIQUE CHANNEL",543687
1970,01,07,06:48:37,15.8,-59.6,23,4.1,"LEEWARD ISLANDS",542917
1970,01,07,05:54:19,-25.5,-64.2,33,4.8,"SALTA PROVINCE, ARGENTINA",539659
1970,01,07,05:36:27,16.11,-59.54,6,4.3,"LEEWARD ISLANDS",538587
1970,01,07,04:53:42,-18.97,169.25,248,4.8,"VANUATU ISLANDS",536022
1970,01,07,03:45:03,-26.59,-178.19,275,4.6,"SOUTH OF FIJI ISLANDS",531903
1970,01,07,02:43:15,24.14,102.81,33,4.8,"YUNNAN, CHINA",528195
1970,01,07,01:53:15,9.7,-85.3,33,3.8,"OFF COAST OF COSTA RICA",525195
1970,01,07,01:52:22,37.3,19.3,0,3.9,"IONIAN SEA",525142
1970,01,07,01:11:05,24.22,102.34,48,4.8,"YUNNAN, CHINA",522665
1970,01,06,23:36:32,19.26,-69.36,40,4.2,"DOMINICAN REPUBLIC REGION",516992
1970,01,06,23:26:45,-7.84,106.99,70,4.7,"JAVA, INDONESIA",516405
1970,01,06,23:20:40,35.93,27.6,0,4.6,"DODECANESE ISLANDS, GREECE",516040
1970,01,06,20:35:35,18.76,146,179,4.1,"MARIANA ISLANDS",506135
1970,01,06,18:29:20,-19,168,0,3.5,"VANUATU ISLANDS",498560
1970,01,06,16:49:51,-21.27,-71.89,5,4.4,"OFF COAST OF NORTHERN CHILE",492591
1970,01,06,16:24:46,50.33,18.83,0,2.5,"POLAND",491086
1970,01,06,16:17:28,36.6,-13.8,33,4,"AZORES-CAPE ST. VINCENT RIDGE",490648
1970,01,06,15:57:15,-26.68,26.73,0,3.4,"SOUTH AFRICA",489435
1970,01,06,15:17:59,-52.91,22.6,33,4.4,"SOUTH OF AFRICA",487079
1970,01,06,13:56:19,16.7,-98.7,33,4,"NEAR COAST OF GUERRERO, MEXICO",482179
1970,01,06,13:46:38,-23.99,-66.63,205,4.3,"JUJUY PROVINCE, ARGENTINA",481598
1970,01,06,13:25:39,36.47,68.05,56,4.7,"HINDU KUSH REGION, AFGHANISTAN",480339
1970,01,06,13:24:12,-21.34,169.25,60,3.5,"SOUTHEAST OF LOYALTY ISLANDS",480252
1970,01,06,13:02:57,15.75,-59.6,36,4.2,"LEEWARD ISLANDS",478977
1970,01,06,12:56:04,15.86,-59.71,13,5.2,"LEEWARD ISLANDS",478564
1970,01,06,11:45:37,-23.5,170.9,0,4.2,"SOUTHEAST OF LOYALTY ISLANDS",474337
1970,01,06,10:55:14,41.03,-126,8,4,"OFF COAST OF NORTHERN CALIFORNIA",471314
1970,01,06,09:40:31,24.1,103.1,0,4.9,"YUNNAN, CHINA",466831
1970,01,06,09:10:27,23,142.5,33,3.8,"VOLCANO ISLANDS, JAPAN REGION",465027
1970,01,06,08:34:55,37.54,-121.87,13,2.8,"CENTRAL CALIFORNIA",462895
1970,01,06,07:37:58,43.8,146,33,3.6,"KURIL ISLANDS",459478
1970,01,06,07:12:39,49.6,142.5,40,4.7,"SAKHALIN, RUSSIA",457959
1970,01,06,07:00:35,-29.63,-177.99,365,3.7,"KERMADEC ISLANDS, NEW ZEALAND",457235
1970,01,06,06:43:59,43.4,144.7,33,3.3,"HOKKAIDO, JAPAN REGION",456239
1970,01,06,06:33:07,16.05,-59.92,53,4.4,"LEEWARD ISLANDS",455587
1970,01,06,06:11:42,-36.59,-100.29,33,4.5,"SOUTHEAST OF EASTER ISLAND",454302
1970,01,06,05:58:09,49.69,142.38,27,4.9,"SAKHALIN, RUSSIA",453489
1970,01,06,05:35:52,-9.62,151.5,8,5.7,"D'ENTRECASTEAUX ISLANDS REGION",452152
1970,01,06,05:33:50,-9.59,151.68,8,4.7,"D'ENTRECASTEAUX ISLANDS REGION",452030
1970,01,06,05:17:58,16.5,-60.5,33,3.6,"LEEWARD ISLANDS",451078
1970,01,06,03:45:13,-16.1,177.6,33,4.6,"FIJI ISLANDS",445513
1970,01,06,02:56:06,36.53,-121.11,8,2.8,"CENTRAL CALIFORNIA",442566
1970,01,06,02:29:05,36.4,-121.26,8,4.1,"CENTRAL CALIFORNIA",440945
1970,01,06,02:17:34,-14.7,166.4,0,4.2,"VANUATU ISLANDS",440254
